DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Air Temperature [deg C],Avg Relative Humidity [%],Avg Avg Wind Speed @ 10m [m/s]
2/2/2021,17,-99999,-99999,-99999,-99999,-99999,-99999
2/3/2021,16,368.7782,415.3768,136.7335,-99999,-99999,-99999
2/3/2021,17,249.3693,352.6683,106.9191,-99999,-99999,-99999
2/3/2021,18,113.0755,262.0966,56.3596,-99999,-99999,-99999
2/3/2021,19,2.9099,6.5500,2.2853,-99999,-99999,-99999
2/3/2021,20,-1.6892,-0.3820,-2.4807,-99999,-99999,-99999
2/3/2021,21,-1.6895,-0.3821,-2.4812,-99999,-99999,-99999
2/3/2021,22,-1.6898,-0.3822,-2.4816,-99999,-99999,-99999
2/3/2021,23,-1.6899,-0.3822,-2.4818,-99999,-99999,-99999
2/4/2021,0,-1.6901,-0.3823,-2.4819,-99999,-99999,-99999
2/4/2021,1,-1.6902,-0.3823,-2.4822,-99999,-99999,-99999
2/4/2021,2,-1.6902,-0.3823,-2.4821,-99999,-99999,-99999
2/4/2021,3,-1.6902,-0.3823,-2.4822,-99999,-99999,-99999
2/4/2021,4,-1.6902,-0.3823,-2.4822,-99999,-99999,-99999
2/4/2021,5,-1.6902,-0.3823,-2.4822,-99999,-99999,-99999
2/4/2021,6,-1.6903,-0.3823,-2.4744,-99999,-99999,-99999
2/4/2021,7,-1.6769,-0.3823,-2.4281,-99999,-99999,-99999
2/4/2021,8,32.6326,108.5094,21.6832,-99999,-99999,-99999
2/4/2021,9,212.0657,421.5484,85.6807,-99999,-99999,-99999
2/4/2021,10,414.5070,583.0176,103.2922,-99999,-99999,-99999
2/4/2021,11,571.6872,705.3057,108.8213,-99999,-99999,-99999
2/4/2021,12,687.1796,785.2887,115.7742,-99999,-99999,-99999
2/4/2021,13,742.0760,832.4532,112.2092,-99999,-99999,-99999
2/4/2021,14,727.4894,834.5710,104.5963,-99999,-99999,-99999
2/4/2021,15,641.9751,780.3387,99.0259,-99999,-99999,-99999
2/4/2021,16,507.4455,688.3579,86.7000,-99999,-99999,-99999
2/4/2021,17,324.1189,543.4671,71.5336,-99999,-99999,-99999
2/4/2021,18,110.3815,258.8580,47.2626,-99999,-99999,-99999
2/4/2021,19,2.4492,5.6422,2.0191,-99999,-99999,-99999
2/4/2021,20,-1.9143,-0.3818,-2.4823,-99999,-99999,-99999
2/4/2021,21,-1.6888,-0.3820,-2.4802,-99999,-99999,-99999
2/4/2021,22,-1.6892,-0.3821,-2.4808,-99999,-99999,-99999
2/4/2021,23,-1.6895,-0.3821,-2.4812,-99999,-99999,-99999
2/5/2021,0,-1.6896,-0.3822,-2.4814,-99999,-99999,-99999
2/5/2021,1,-1.6898,-0.3822,-2.4817,-99999,-99999,-99999
2/5/2021,2,-1.6899,-0.3822,-2.4758,-99999,-99999,-99999
2/5/2021,3,-1.6805,-0.3822,-2.4447,-99999,-99999,-99999
2/5/2021,4,-1.2962,-0.3813,-1.9790,-99999,-99999,-99999
2/5/2021,5,-0.8867,-0.1755,-1.3422,-99999,-99999,-99999
2/5/2021,6,-0.5332,-0.0193,-1.0678,-99999,-99999,-99999
2/5/2021,7,-0.7471,-0.1235,-1.0678,-99999,-99999,-99999
2/5/2021,8,13.2485,-0.2496,14.0694,-99999,-99999,-99999
2/5/2021,9,67.7035,0.3822,73.9057,-99999,-99999,-99999
2/5/2021,10,62.4555,0.1951,68.1930,-99999,-99999,-99999
2/5/2021,11,171.2612,0.4932,187.6139,-99999,-99999,-99999
2/5/2021,12,442.2460,18.1934,466.9870,-99999,-99999,-99999
2/5/2021,13,371.0615,3.8584,401.8558,-99999,-99999,-99999
2/5/2021,14,544.0906,117.7609,496.3852,-99999,-99999,-99999
2/5/2021,15,458.0591,163.6806,378.4037,-99999,-99999,-99999
2/5/2021,16,478.4914,512.8412,191.5016,-99999,-99999,-99999
2/5/2021,17,257.6702,304.4949,139.0109,-99999,-99999,-99999
2/5/2021,18,94.4447,134.5267,66.1904,-99999,-99999,-99999
2/5/2021,19,2.6376,0.7508,2.4336,-99999,-99999,-99999
2/5/2021,20,-0.9974,-0.0320,-1.2259,-99999,-99999,-99999
2/5/2021,21,-0.8440,-0.0541,-1.1067,-99999,-99999,-99999
2/5/2021,22,-0.8190,-0.0327,-1.1272,-99999,-99999,-99999
2/5/2021,23,-0.7480,-0.0171,-1.1046,-99999,-99999,-99999
2/6/2021,0,-0.7986,-0.0174,-1.1427,-99999,-99999,-99999
2/6/2021,1,-0.6965,-0.0105,-1.2424,-99999,-99999,-99999
2/6/2021,2,-0.9395,-0.1478,-1.4817,-99999,-99999,-99999
2/6/2021,3,-0.8405,-0.1217,-1.2785,-99999,-99999,-99999
2/6/2021,4,-0.8308,-0.0180,-1.3197,-99999,-99999,-99999
2/6/2021,5,-0.7168,-0.0212,-1.3339,-99999,-99999,-99999
2/6/2021,6,-0.8137,0.0037,-1.3200,-99999,-99999,-99999
2/6/2021,7,-0.6200,0.0219,-1.1214,-99999,-99999,-99999
2/6/2021,8,5.3040,0.1448,5.2624,-99999,-99999,-99999
2/6/2021,9,42.6650,0.3739,46.3714,-99999,-99999,-99999
2/6/2021,10,63.2120,0.3774,69.0174,-99999,-99999,-99999
2/6/2021,11,106.7748,0.3821,116.9428,-99999,-99999,-99999
2/6/2021,12,133.1183,0.3821,145.6751,-99999,-99999,-99999
2/6/2021,13,160.9355,0.3641,176.1663,-99999,-99999,-99999
2/6/2021,14,227.2412,0.4157,248.2103,-99999,-99999,-99999
2/6/2021,15,414.7897,202.8074,302.0013,-99999,-99999,-99999
2/6/2021,16,519.8397,608.7803,173.0508,-99999,-99999,-99999
2/6/2021,17,341.7244,616.4065,68.3767,-99999,-99999,-99999
2/6/2021,18,128.0281,378.9061,40.4414,-99999,-99999,-99999
2/6/2021,19,3.5833,24.7962,1.8845,-99999,-99999,-99999
2/6/2021,20,-2.3394,-0.3821,-2.7967,-99999,-99999,-99999
2/6/2021,21,-2.1449,-0.3822,-2.6249,-99999,-99999,-99999
2/6/2021,22,-2.2168,-0.4097,-2.6127,-99999,-99999,-99999
2/6/2021,23,-1.7539,-0.4740,-2.5087,-99999,-99999,-99999
2/7/2021,0,-1.7723,-0.4970,-2.4833,-99999,-99999,-99999
2/7/2021,1,-1.8474,-0.3825,-2.4618,-99999,-99999,-99999
2/7/2021,2,-1.6623,-0.3825,-2.3538,-99999,-99999,-99999
2/7/2021,3,-1.5403,-0.3826,-2.1647,-99999,-99999,-99999
2/7/2021,4,-1.6345,-0.3826,-2.1960,-99999,-99999,-99999
2/7/2021,5,-1.6546,-0.3826,-2.2224,-99999,-99999,-99999
2/7/2021,6,-1.6906,-0.3826,-2.2587,-99999,-99999,-99999
2/7/2021,7,-1.6426,-0.3826,-2.1783,-99999,-99999,-99999
2/7/2021,8,36.4664,121.5982,20.4568,-99999,-99999,-99999
2/7/2021,9,225.8561,450.0403,65.9125,-99999,-99999,-99999
2/7/2021,10,427.6246,630.4772,88.7093,-99999,-99999,-99999
2/7/2021,11,578.0673,748.1106,101.9939,-99999,-99999,-99999
2/7/2021,12,689.8151,828.8808,106.5502,-99999,-99999,-99999
2/7/2021,13,745.7245,868.1126,107.4047,-99999,-99999,-99999
2/7/2021,14,673.1442,705.7431,166.4571,-99999,-99999,-99999
2/7/2021,15,674.1006,775.0194,162.4869,-99999,-99999,-99999
2/7/2021,16,434.6487,423.2560,194.0705,-99999,-99999,-99999
2/7/2021,17,295.9336,331.7317,164.9701,-99999,-99999,-99999
2/7/2021,18,106.2172,201.5387,51.6737,-99999,-99999,-99999
2/7/2021,19,2.6639,0.4971,2.5443,-99999,-99999,-99999
2/7/2021,20,-1.7060,-0.3821,-2.4808,-99999,-99999,-99999
2/7/2021,21,-1.6897,-0.3822,-2.4785,-99999,-99999,-99999
2/7/2021,22,-1.6900,-0.3822,-2.4818,-99999,-99999,-99999
2/7/2021,23,-1.6902,-0.3823,-2.4782,-99999,-99999,-99999
2/8/2021,0,-1.6364,-0.3823,-2.3447,-99999,-99999,-99999
2/8/2021,1,-1.6893,-0.3823,-2.4700,-99999,-99999,-99999
2/8/2021,2,-1.5685,-0.3823,-2.1782,-99999,-99999,-99999
2/8/2021,3,-1.4765,-0.3818,-2.0531,-99999,-99999,-99999
2/8/2021,4,-1.2305,-0.3784,-1.8557,-99999,-99999,-99999
2/8/2021,5,-1.2187,-0.3750,-1.9006,-99999,-99999,-99999
2/8/2021,6,-1.2607,-0.3753,-1.7797,-99999,-99999,-99999
2/8/2021,7,-1.0801,-0.3011,-1.5762,-99999,-99999,-99999
2/8/2021,8,13.4821,0.0049,14.3760,-99999,-99999,-99999
2/8/2021,9,69.5924,1.6229,75.4330,-99999,-99999,-99999
2/8/2021,10,148.1343,1.3830,161.4380,-99999,-99999,-99999
2/8/2021,11,194.6477,12.7233,202.9790,-99999,-99999,-99999
2/8/2021,12,529.5301,166.7628,441.2370,-99999,-99999,-99999
2/8/2021,13,423.6498,74.7835,398.1465,-99999,-99999,-99999
2/8/2021,14,455.5032,93.2156,418.9700,-99999,-99999,-99999
2/8/2021,15,418.5459,147.7093,345.8215,-99999,-99999,-99999
2/8/2021,16,347.1008,150.9777,280.4509,-99999,-99999,-99999
2/8/2021,17,197.9478,98.9883,160.7504,26.6153,62.6200,3.8958
2/8/2021,18,58.8003,34.8034,54.5331,26.2997,63.1624,3.8165
2/8/2021,19,3.9165,1.0629,3.7269,25.4203,67.1938,3.4527
2/8/2021,20,-1.6885,-0.3819,-2.4797,23.6561,75.7694,3.9869
2/8/2021,21,-1.6887,-0.3820,-2.4799,23.1087,78.0013,3.8288
2/8/2021,22,-1.6827,-0.3820,-2.3235,21.7980,84.5800,1.9348
2/8/2021,23,-1.6844,-0.3821,-2.3465,21.2037,89.9921,2.1487
2/9/2021,0,-1.5598,-0.3821,-2.2290,20.7050,94.4800,2.3265
2/9/2021,1,-1.0597,-0.3052,-1.7192,20.4385,96.8926,2.5131
2/9/2021,2,-0.6409,-0.0392,-1.3231,20.2480,99.1600,2.5906
2/9/2021,3,-0.5175,0.0334,-1.1973,20.3117,99.6167,2.8887
2/9/2021,11,379.4605,88.6441,349.3609,22.2340,90.8271,1.6141
2/9/2021,12,346.3273,57.0650,332.5215,23.5887,81.3850,2.1464
2/9/2021,13,484.7718,129.7048,418.0164,24.6220,76.8250,2.1532
2/9/2021,14,550.0216,245.7488,397.7229,25.7127,71.7930,2.3172
2/9/2021,15,406.3205,206.3827,292.4934,26.9870,64.5437,2.4624
2/9/2021,16,496.1407,396.6457,280.6698,28.0913,58.3773,3.5060
2/9/2021,17,291.3723,272.8090,173.7843,27.2500,65.5493,4.4915
2/9/2021,18,86.4408,70.6018,71.3496,25.7290,73.9705,4.9197
2/9/2021,19,3.5867,0.8922,3.4120,24.0180,82.2428,4.5370
2/9/2021,20,-1.6840,-0.3819,-2.3879,22.6787,89.4867,4.2439
2/9/2021,21,-1.3551,-0.3604,-2.0851,22.0597,93.0833,3.4731
2/9/2021,22,-1.2098,-0.3039,-1.8507,21.5263,95.8917,2.7573
2/9/2021,23,-0.9949,-0.2237,-1.6019,21.6837,95.6400,2.6427
2/10/2021,0,-1.0071,-0.2647,-1.7001,21.6520,96.8067,2.2256
2/10/2021,1,-1.1813,-0.3006,-1.8243,21.7260,97.4883,2.3125
2/10/2021,2,-0.9830,-0.2027,-1.5748,21.8027,98.0483,2.4593
2/10/2021,3,-1.0529,-0.3479,-1.7263,22.0037,97.2183,2.6262
2/10/2021,4,-1.3752,-0.3498,-2.0096,21.8920,97.5467,3.3586
2/10/2021,5,-0.9536,-0.2726,-1.5707,21.7010,98.1733,3.0248
2/10/2021,6,-0.8920,-0.1055,-1.1798,21.9000,97.0683,2.6304
2/10/2021,7,-0.9584,-0.2171,-1.2290,21.9120,97.2533,2.5843
