WBANNO	LST_DATE	CRX_VN	LONGITUDE	LATITUDE	T_DAILY_MAX	T_DAILY_MIN	T_DAILY_MEAN	T_DAILY_AVG	P_DAILY_CALC	SOLARAD_DAILY	SUR_TEMP_DAILY_TYPE	SUR_TEMP_DAILY_MAX	SUR_TEMP_DAILY_MIN	SUR_TEMP_DAILY_AVG	RH_DAILY_MAX	RH_DAILY_MIN	RH_DAILY_AVG	SOIL_MOISTURE_5_DAILY	SOIL_MOISTURE_10_DAILY	SOIL_MOISTURE_20_DAILY	SOIL_MOISTURE_50_DAILY	SOIL_MOISTURE_100_DAILY	SOIL_TEMP_5_DAILY	SOIL_TEMP_10_DAILY	SOIL_TEMP_20_DAILY	SOIL_TEMP_50_DAILY	SOIL_TEMP_100_DAILY
XXXXX	YYYYMMDD	XXXXXX	Decimal_degrees	Decimal_degrees	Celsius	Celsius	Celsius	Celsius	mm	MJ/m^2	X	Celsius	Celsius	Celsius	%	%	%	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Celsius	Celsius	Celsius	Celsius	Celsius
12987	20100101	1.302	-98.06	26.53	15	4.1	9.6	9.6	0	16.49	R	21.8	3.5	11.1	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100102	1.302	-98.06	26.53	20.5	2	11.3	11.2	0	14.54	R	25	1.4	12.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100103	1.302	-98.06	26.53	17.7	11.7	14.7	14.1	0.5	3.49	R	19.6	11.5	14.3	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100104	1.302	-98.06	26.53	15.2	4.6	9.9	10.4	0	11.78	R	19.7	4	11.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100105	1.302	-98.06	26.53	14.6	2.8	8.7	8.6	0	9.79	R	17.3	2.4	9.4	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100106	1.302	-98.06	26.53	21.4	9.5	15.5	15.1	0	5.9	R	23.5	9.5	15.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100107	1.302	-98.06	26.53	17	5.5	11.2	10.2	0	2.97	R	17.7	5.4	10.3	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100108	1.302	-98.06	26.53	5.5	-1.5	2	2.1	0	2.92	R	5.5	-1.9	2.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100109	1.302	-98.06	26.53	10.1	-6.3	1.9	1.3	0	18.04	R	15.4	-7.2	2.9	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100110	1.302	-98.06	26.53	15.3	-2.8	6.3	5.5	0	17.26	R	21.6	-3.3	6.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100111	1.302	-98.06	26.53	18	1.2	9.6	10.8	0	5.06	R	20.4	0.7	11	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100112	1.302	-98.06	26.53	18.2	11.3	14.8	13.5	0.8	6.28	R	21.1	11.2	13.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100113	1.302	-98.06	26.53	15.6	11.7	13.7	13.7	5	3.12	R	16.5	11.3	13.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100114	1.302	-98.06	26.53	21.1	11	16.1	16.2	2.5	5.4	R	23.1	11	16.4	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100115	1.302	-98.06	26.53	21.5	10.1	15.8	15.9	1.4	11.14	R	26.2	9.9	16.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100116	1.302	-98.06	26.53	21.1	8.8	15	13.6	0	16.84	R	24	8.7	14.3	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100117	1.302	-98.06	26.53	25.1	6.5	15.8	14.5	0	17.69	R	29.5	5.7	15.9	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100118	1.302	-98.06	26.53	26.6	11.7	19.1	17.9	0	14.42	R	29.1	11.2	18.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100119	1.302	-98.06	26.53	28	14.1	21.1	20.5	0	15.75	R	31.1	13.7	21.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100120	1.302	-98.06	26.53	29.3	16.7	23	22.1	0	15.3	R	33.7	16.3	23.3	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100121	1.302	-98.06	26.53	29.8	14	21.9	19.3	0	15.86	R	34.1	13.5	20.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100122	1.302	-98.06	26.53	29.3	15.2	22.3	20.7	0	15.74	R	32	15	21.5	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100123	1.302	-98.06	26.53	27.2	14.5	20.8	20.3	0	15.25	R	32.4	13.9	21.8	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100124	1.302	-98.06	26.53	25.9	9.2	17.6	17.2	0	18.08	R	28.9	8.8	17.9	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100125	1.302	-98.06	26.53	25	4.7	14.8	14.8	0	19.39	R	32.1	3.9	16.5	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100126	1.302	-98.06	26.53	25.4	7.4	16.4	17.1	0	9.97	R	27.6	8.1	17.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100127	1.302	-98.06	26.53	24.3	18.2	21.2	20.4	0	5.52	R	25.8	18	20.5	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100128	1.302	-98.06	26.53	24.9	19.1	22	21.6	3.4	6.14	R	25.9	18.5	21.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100129	1.302	-98.06	26.53	21.8	8.4	15.1	16.4	0	12.84	R	23.8	8.1	17.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100130	1.302	-98.06	26.53	15.7	4	9.8	8.8	0	15.83	R	19.2	3.7	9.8	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100131	1.302	-98.06	26.53	14.6	2.5	8.5	8	0	10.25	R	18.4	2.2	8.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100201	1.302	-98.06	26.53	16.7	6.7	11.7	10.8	0	7.43	R	19.5	6.7	11.6	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100202	1.302	-98.06	26.53	15.5	10.8	13.1	12.6	4.8	4.27	R	18	10.7	13	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100203	1.302	-98.06	26.53	19.9	12.6	16.3	17.4	41.9	2.17	R	19.8	12.6	17.3	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100204	1.302	-98.06	26.53	19.8	14.4	17.1	17.3	0.8	3.82	R	21.2	13.7	17.4	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100205	1.302	-98.06	26.53	26.4	11	18.7	16.8	0	20.09	R	30.5	10.6	18.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100206	1.302	-98.06	26.53	24	12.9	18.5	16.6	0	18.26	R	28	12.6	17.9	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100207	1.302	-98.06	26.53	23.6	12.6	18.1	18.7	0	8.72	R	25	12.2	19.1	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100208	1.302	-98.06	26.53	26.9	13.7	20.3	20.3	0	11.75	R	31.6	13.8	21.1	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100209	1.302	-98.06	26.53	15	6	10.5	10.7	0	18.3	R	18.9	5.5	11.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100210	1.302	-98.06	26.53	12.6	6.9	9.8	9.8	0.5	4.55	R	14.1	6.3	10.1	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100211	1.302	-98.06	26.53	13.6	8.4	11	10.4	8.6	2.5	R	14.5	8	10.4	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100212	1.302	-98.06	26.53	16.2	3	9.6	8.9	0	20.81	R	19.9	2.8	10.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100213	1.302	-98.06	26.53	19	3.8	11.4	10.8	0	15.21	R	23.3	3.4	11.9	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100214	1.302	-98.06	26.53	25.2	6.8	16	15.8	0	18.65	R	29.6	6.4	17.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100215	1.302	-98.06	26.53	15.4	4.4	9.9	8.8	3	17.05	R	19.5	3.6	9.8	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100216	1.302	-98.06	26.53	16.3	1.5	8.9	8.6	0	12.81	R	22	1.1	9.7	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100217	1.302	-98.06	26.53	20	3.7	11.8	11.1	0	18.99	R	26.7	3.1	12.8	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100218	1.302	-98.06	26.53	16.7	8.6	12.6	12.2	5	4.19	R	17.8	8.2	12.1	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100219	1.302	-98.06	26.53	19	12.4	15.7	14.9	20.5	5.87	R	20.6	12.1	14.9	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100220	1.302	-98.06	26.53	25.8	12.5	19.1	17.9	0	16.29	R	31.4	12.4	19.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100221	1.302	-98.06	26.53	24.7	14	19.3	18.3	0	12.47	R	29.5	13.7	19.2	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100222	1.302	-98.06	26.53	23.2	11.6	17.4	16.1	0.2	19.08	R	27.8	11.3	17.3	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100223	1.302	-98.06	26.53	14.3	5.7	10	8.9	1.6	2.17	R	14.3	5.5	8.8	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
12987	20100224	2.402	-98.06	26.53	-9999	-9999	-9999	-9999	-9999	-9999	U	-9999	-9999	-9999	-9999	-9999	-9999	-99	-99	-99	-99	-99	-9999	-9999	-9999	-9999	-9999
