,DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Air Temperature [deg C],Avg Relative Humidity [%],Avg Avg Wind Speed @ 10m [m/s]
0,1/1/2015,1,-1.5128,0.0015,-1.7217,-99999.0,-99999.0,-99999.0
1,1/1/2015,2,-1.5068,0.0,-1.4733,-99999.0,-99999.0,-99999.0
2,1/1/2015,3,-1.528,0.0015,-1.4306,-99999.0,-99999.0,-99999.0
3,1/1/2015,4,-1.4508,0.0005,-1.4303,-99999.0,-99999.0,-99999.0
4,1/1/2015,5,-1.4732,0.0109,-1.4303,-99999.0,-99999.0,-99999.0
5,1/1/2015,6,-1.642,0.0015,-1.6042,-99999.0,-99999.0,-99999.0
6,1/1/2015,7,-1.4517,0.0,-1.4304,-99999.0,-99999.0,-99999.0
7,1/1/2015,8,2.6118,0.0,2.7047,-99999.0,-99999.0,-99999.0
8,1/1/2015,9,25.4065,0.0,25.4269,-99999.0,-99999.0,-99999.0
9,1/1/2015,10,55.7784,0.073,55.6374,-99999.0,-99999.0,-99999.0
10,1/1/2015,11,79.8518,0.2819,79.6717,-99999.0,-99999.0,-99999.0
11,1/1/2015,12,148.1032,0.3838,147.5296,-99999.0,-99999.0,-99999.0
12,1/1/2015,13,150.2351,0.3942,149.622,-99999.0,-99999.0,-99999.0
13,1/1/2015,14,119.8989,0.4007,119.3906,-99999.0,-99999.0,-99999.0
14,1/1/2015,15,70.1188,0.2195,69.8025,-99999.0,-99999.0,-99999.0
15,1/1/2015,16,47.6228,0.0,47.3605,-99999.0,-99999.0,-99999.0
16,1/1/2015,17,30.929,0.0,30.7825,-99999.0,-99999.0,-99999.0
17,1/1/2015,18,6.2074,0.0,6.141,-99999.0,-99999.0,-99999.0
18,1/1/2015,19,-1.3674,0.0,-1.4093,-99999.0,-99999.0,-99999.0
19,1/1/2015,20,-1.2801,0.0,-1.2292,-99999.0,-99999.0,-99999.0
20,1/1/2015,21,-1.4651,0.0,-1.4487,-99999.0,-99999.0,-99999.0
21,1/1/2015,22,-1.3204,0.0,-1.302,-99999.0,-99999.0,-99999.0
22,1/1/2015,23,-1.3802,0.0,-1.4298,-99999.0,-99999.0,-99999.0
23,1/2/2015,0,-1.5109,0.0,-1.4658,-99999.0,-99999.0,-99999.0
24,1/2/2015,1,-1.3117,0.0,-1.2854,-99999.0,-99999.0,-99999.0
25,1/2/2015,2,-1.2349,0.0,-1.1236,-99999.0,-99999.0,-99999.0
26,1/2/2015,3,-1.7494,0.0,-1.6806,-99999.0,-99999.0,-99999.0
27,1/2/2015,4,-1.8167,0.0,-1.7692,-99999.0,-99999.0,-99999.0
28,1/2/2015,5,-1.7283,0.0,-1.6566,-99999.0,-99999.0,-99999.0
29,1/2/2015,6,-1.6988,0.0,-1.5838,-99999.0,-99999.0,-99999.0
30,1/2/2015,7,-1.7761,0.0,-1.7496,-99999.0,-99999.0,-99999.0
31,1/2/2015,8,1.2286,-0.0001,1.2582,-99999.0,-99999.0,-99999.0
